,runtime,has_tagline,release_year,release_month,is_indie,log_budget,is_mid_budget,is_summer,is_holiday,is_dump_month,month_sin,month_cos,decade,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_Thriller,genre_War,genre_Western,is_franchise_genre,is_drama_only,has_superhero,has_sequel,has_imax,has_3d,has_franchise,has_dystopia,has_novel_adaptation,has_independent,tagline_length,tagline_word_count,is_english,director_film_count,director_median_revenue,actor1_median_revenue,is_top_director,is_top_actor,is_unknown_director,is_major_studio,studio_count,is_co_production,is_long_film,is_short_film
2947,-1.125075321624874,1,0.1351043109360697,-0.5713624451446244,0,-0.0035689592843700883,1,0,0,0,0.8213918370817433,-1.2468593807760893,0.15458926473661724,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6387376616258688,0.42721009845304597,1,-0.8228302160912931,-0.45081000205104355,-0.49500952891680766,0,0,0,0,-0.94710618849287,0,0,0
2779,-0.350899176474643,1,-0.021985544368428755,-0.866338333422427,0,-0.15015330801006044,1,0,0,0,1.3372865171545167,-0.7238168421076542,0.15458926473661724,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3482400791354407,-0.5885023808321848,1,0.40552090878997815,0.2835034635724052,-0.42757857988465775,0,0,0,0,-0.94710618849287,0,0,0
3163,-0.30251316740275364,1,0.5278289491973158,-0.5713624451446244,0,-0.29673765319730727,1,0,0,0,0.8213918370817433,-1.2468593807760893,0.15458926473661724,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6766983439628422,0.020925106738953654,1,-0.8228302160912931,-0.45081000205104355,-0.44451078817513434,0,0,0,0,0.8399189783872938,1,0,0
3579,0.036188896100472365,0,-0.2576203273251764,-1.4562901099780325,0,-0.15015330801006044,1,0,0,0,1.3372865171545165,0.7051619480543181,-0.6052315553367766,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,1,-0.8228302160912931,-0.45081000205104355,-0.017078176034831652,0,0,0,0,-0.94710618849287,0,0,0
801,-0.5444432127622008,1,0.6063738768495651,1.198492884522192,0,0.9301971590514316,0,0,1,0,-0.5880586402315643,1.2282044867227522,0.9144100848100111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.22117015591916092,-0.1822173891180925,1,1.879542258647504,0.34321490151309186,0.07974748203492416,0,0,0,1,0.8399189783872938,1,0,0
3064,0.2781189414599195,1,-0.1790753996729272,-0.5713624451446244,0,0.05644572865861347,1,0,0,0,0.8213918370817433,-1.2468593807760893,0.15458926473661724,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4241614438093876,-0.5885023808321848,1,-0.33148976613878467,-0.6176251598125445,-0.49500952891680766,0,0,0,1,-0.94710618849287,0,0,0
927,1.4393831591852657,1,0.6849188045018143,-0.5713624451446244,0,0.34961443495610206,0,0,0,0,0.8213918370817433,-1.2468593807760893,0.9144100848100111,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.6139648554942548,-0.791644876689231,1,-0.33148976613878467,-0.3536504543751074,0.8130039280806977,0,0,0,0,-0.05359360505278807,1,1,0
2069,-1.4637773851280997,1,0.1351043109360697,0.31356521968878376,0,-2.455864579274885,0,1,0,0,-1.1039533203043363,-0.7238168421076552,0.15458926473661724,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.6519255378312282,-0.5885023808321848,1,-0.5771599911150389,-0.7493310948330677,-0.49500952891680766,0,0,0,0,-0.94710618849287,0,0,1
868,-0.5444432127622008,1,0.44928402154506664,0.018589331410981062,0,0.7106977775188796,0,1,0,0,-0.5880586402315634,-1.2468593807760893,0.15458926473661724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.6139648554942548,-0.3853598849751387,1,0.40552090878997815,0.27862825236441147,0.13977689184967507,0,0,0,1,0.8399189783872938,1,0,0
2531,-0.20574114925897477,1,0.6063738768495651,0.9035169962443892,0,0.15869465783760195,1,0,0,0,-1.1039533203043368,0.7051619480543181,0.9144100848100111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1072881089082406,0.020925106738953654,1,-0.5771599911150389,-0.45081000205104355,-0.49500952891680766,0,0,0,0,-0.500349896772829,1,0,0
