,log_revenue
560,19.29681282790992
1295,19.14194792032347
853,16.081859479625994
1422,16.687441207942623
2180,17.761970013037892
3816,17.761970013037892
3799,17.761970013037892
2884,16.118095750958314
1475,15.203751273706514
171,19.542901594425427
1704,16.494065210824363
1289,17.761970013037892
854,18.239800627783534
3360,17.761970013037892
2930,17.761970013037892
125,20.381682957006444
1348,17.599700214609808
3299,14.266534583636872
2311,14.394796751569828
1248,16.08104673773934
2849,16.770677574871353
1651,16.388122864507256
1211,18.994548956131297
291,18.80820383914737
747,19.030098836731216
1765,18.079174246678793
3349,11.7004086774697
3434,16.648723960844016
1049,20.232078482199277
697,17.922787501952875
1856,15.842010869208156
597,18.893106836662746
1166,17.761970013037892
2117,16.68489897512974
2825,16.419815974449012
2608,17.14413728263389
909,18.03036022542524
1259,16.990932135305314
114,20.68348496797515
1860,17.619105859830366
3182,17.761970013037892
3464,17.761970013037892
3719,17.761970013037892
3424,17.181857972830034
1745,18.259711565910393
3836,17.761970013037892
2436,13.525765024707482
1562,18.31956906695994
1099,18.836054307449473
2518,18.593625281935054
1424,19.516918903271023
1801,17.761970013037892
474,20.3163380826927
2720,17.720061315553693
3,21.14168528147379
1755,17.035823389843156
1152,17.365369409842533
3158,16.631090819559013
3637,17.761970013037892
2,21.74857780752812
3200,17.030846966481878
1496,17.703546356944624
197,18.974166909793784
1681,12.253418910636032
2704,12.940664026999826
2941,17.85333594904609
2901,16.88686918606008
2439,15.976510773045344
2118,16.821757112232703
1131,18.007012486829534
1816,16.48091947174733
1757,18.579599512641263
2029,17.381861098160996
2899,17.761970013037892
3712,15.412863743341358
700,18.811238223485976
538,17.599700214609808
3598,17.761970013037892
3277,17.761970013037892
136,20.069339371462824
3232,16.31961744776731
469,18.60069845726911
3175,17.761970013037892
3187,16.59581022431326
3764,17.761970013037892
1683,17.80282194715758
181,19.181646490105244
3645,16.906553056777135
3090,14.074935892620566
3303,12.939639339625767
404,19.096085876064585
3033,14.880213019060388
2319,15.843658936835498
1130,16.352321407166013
446,18.50486423289969
627,19.538689469589396
3218,17.761970013037892
1813,18.595595924461698
3102,17.303709669347302
1091,17.92212664936252
3756,4.844187086458591
3883,17.761970013037892
3269,17.761970013037892
249,19.201566768500314
1844,17.22675968447894
771,17.761970013037892
3602,17.761970013037892
1229,18.925178102418712
3148,15.607270193858982
2493,17.761970013037892
1267,16.959604774606145
1444,17.852959618840732
101,19.48106453319364
1658,14.94669167729647
3888,2.0794415416798357
2686,16.778284111099545
1560,18.277486345935618
1293,17.761970013037892
2610,17.286512912380974
2743,17.27358414883558
1450,18.42154830751025
3631,15.247478804124237
3509,17.761970013037892
2683,16.118095750958314
2694,16.716690969118606
2140,19.04599632848393
3426,17.761970013037892
1454,16.95455182349457
1345,17.17068410563497
2155,18.762904608205908
3358,18.320952525974185
1912,14.493134879938932
3203,16.43157455539407
463,19.08219537429099
1933,18.2000090600551
1460,16.075619372197448
243,18.91361980260207
3201,17.761970013037892
2434,16.723348446610046
2721,17.201536499807467
2162,17.709597733744726
2563,17.1349732346658
3251,17.761970013037892
2917,16.781113827242436
1533,18.560066093686284
2512,17.761970013037892
2031,18.343811049444007
3023,15.37942083837841
1239,18.058615785664124
1518,18.901734575456047
3316,15.579843159096663
3095,16.80649960016107
2078,17.761970013037892
917,17.761970013037892
3226,17.129696599000436
1447,16.552265410217057
3572,11.207853053314365
479,19.671797452390663
1221,19.04361404361095
3448,14.08605206668242
2933,15.607270193858982
3104,14.313102602912409
717,19.73503557054199
1224,16.2788932197645
1640,17.997015895737707
342,19.982365773654585
138,21.132888530970785
1461,16.442459446824355
3897,17.761970013037892
1017,17.196505266322514
411,13.815511557963774
2156,15.738599267692097
2829,16.444084629746005
1031,17.050474118455163
2213,17.761970013037892
214,16.96574640621366
353,20.125428838008972
1827,16.428831896930966
3608,16.52356082573315
1807,18.47117005423129
2168,17.134872526015407
311,20.53573071430584
698,16.998879239435702
715,18.570069038747533
1889,17.50444283568302
129,19.99523769973303
2960,17.761970013037892
1962,18.093158583641053
1835,16.67116612210916
3340,15.947799142588968
2246,16.329078034118602
769,18.420680753952364
297,18.577519205598588
1528,16.648723960844016
1513,17.28817763458548
380,18.563485244354386
608,19.845441249956647
1088,19.125227219960564
1459,17.690676718100704
2961,14.976503729241156
575,17.35478364951615
1167,17.50688691721445
3079,17.761970013037892
