,popularity,runtime,vote_average,vote_count,has_tagline,release_year,release_month,is_indie,log_budget,is_mid_budget,is_summer,is_holiday,is_dump_month,month_sin,month_cos,decade,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_Thriller,genre_War,genre_Western,is_franchise_genre,is_drama_only,has_superhero,has_sequel,has_imax,has_3d,has_franchise,has_dystopia,has_novel_adaptation,has_independent,tagline_length,tagline_word_count,is_english,director_film_count,director_median_revenue,actor1_median_revenue,is_top_director,is_top_actor,is_unknown_director,is_major_studio,studio_count,is_co_production,is_long_film,is_short_film,vote_reliability,log_vote_count
3142,-0.6475015234780588,0.32650495053180895,-0.4472187258494584,-0.566552093717646,1,0.29219416624056815,0.9035169962443892,0,-0.15015330801006044,1,0,0,0,-1.1039533203043368,0.7051619480543181,0.15458926473661724,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3102793967984673,-0.1822173891180925,1,-0.5771599911150389,0.7296925198997158,-0.49500952891680766,0,0,0,0,-0.94710618849287,0,0,0,0,-0.8386633336310721
606,0.7641188941657301,0.6652070140350349,0.9935999076955726,0.4960032599730871,1,-0.6503449655864226,1.198492884522192,0,0.6699131407275696,0,0,1,0,-0.5880586402315643,1.2282044867227522,-0.6052315553367766,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2723187144614938,-0.1822173891180925,1,0.40552090878997815,-0.673031221060893,0.7144245628025943,0,0,0,0,-0.94710618849287,0,0,0,1,0.9886002990320103
2331,-0.3971325806474497,0.8103650412507032,0.9935999076955726,-0.44832618510115274,1,-1.121614531499918,0.018589331410981062,0,0.31672973905636365,0,1,0,0,-0.5880586402315634,-1.2468593807760893,-1.3650523754101704,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6387376616258688,0.42721009845304597,1,-0.08581954116253038,0.35067850308163334,-0.15307240915401518,0,0,0,1,-0.500349896772829,1,0,0,1,-0.15413518087907055
2266,-0.34451660848566945,0.9071370593944821,-1.3734592759855488,-0.43502577038179724,1,-0.5718000379341733,0.6085411079665866,0,0.5233287842173023,0,0,0,1,-1.2927838788882173,-0.009327447026668503,-0.6052315553367766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7905803909737625,0.2240676025959998,1,0.1598506838137239,0.3059773238122208,-0.49500952891680766,0,0,0,0,-0.05359360505278807,1,0,0,1,-0.10923489348446885
972,0.03792595749340113,-0.3992851855465325,0.5819374409684207,0.07482346052682988,0,0.7634637321540636,-0.866338333422427,0,0.2238303540105665,0,0,0,0,1.3372865171545167,-0.7238168421076542,0.9144100848100111,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.411139184570697,-1.4010723642603695,1,-0.33148976613878467,-0.39951262799702514,-0.5415406704287482,0,0,0,1,0.39316268666725285,1,0,0,1,0.6972372885034415
3233,-0.6768421854581113,0.7619790321788138,0.9935999076955726,-0.57468012493503,1,-1.749973952717912,-1.16131422170023,0,-0.036453654122577436,1,0,0,0,1.5261170757383973,-0.009327447026668153,-1.3650523754101704,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15495276434661,9.365479916163077,1,0.1598506838137239,0.7843835662876161,-0.49500952891680766,0,0,0,1,-0.94710618849287,0,0,0,0,-0.9313795002564085
754,0.4856042672757133,1.1006810956820396,0.47902182428663315,0.29206356760963625,1,-0.33616525497742566,1.198492884522192,0,0.8765121887192638,0,0,1,0,-0.5880586402315643,1.2282044867227522,-0.6052315553367766,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.33505220293008126,0.2240676025959998,1,1.879542258647504,0.28504557876666664,2.323998411307169,0,0,0,0,0.39316268666725285,1,1,0,1,0.8644240809217536
3389,-0.7072540889977539,-0.5928292218340901,-1.990952976076277,-0.5887194515832385,1,-0.4147101826296749,0.31356521968878376,0,-0.0035689592843700883,1,1,0,0,-1.1039533203043363,-0.7238168421076552,-0.6052315553367766,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.3102793967984673,-0.3853598849751387,1,-0.8228302160912931,-0.45081000205104355,-0.49500952891680766,0,0,0,1,-0.05359360505278807,1,0,0,0,-1.1340064869803868
2732,-0.5140419224769099,1.0522950866101504,-0.7559655758948218,-0.5170449944844895,0,-0.10053047202067798,0.31356521968878376,0,0.6437773634661376,0,1,0,0,-1.1039533203043363,-0.7238168421076552,0.15458926473661724,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,1,0.1598506838137239,0.22648099581914793,0.12221434998767709,0,0,0,1,-0.500349896772829,1,1,0,1,-0.4588954875123859
1,5.029404924940201,2.068401277119828,2.0227560745134507,8.244233745926513,1,0.44928402154506664,0.018589331410981062,0,1.2436563584370925,0,1,0,0,-0.5880586402315634,-1.2468593807760893,0.15458926473661724,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,-0.8417289495160954,-0.791644876689231,1,0.8968613587424867,2.705591138025282,0.7507983401645851,0,0,0,1,0.8399189783872938,1,1,0,1,2.267618325105401
